sample_name	filename	filename_original	emp500_principal_investigator	total_samples	total_reads	emp500_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	project_name	sample_type
bioreactor_rumen	bioreactor_rumen_scaffolds.fasta	Rumen_gut.scaffolds.fasta	Angenent	9	109200418	65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	Corn Beer Fermentation Bioreactor	bioreactor
bioreactor_wastewater	bioreactor_wastewater_scaffolds.fasta	Bioreactor.scaffolds.fasta	McMahon	17	183562616	21	Bioreactors for wastewater and anammox	EMP sample	Free-living	Non-saline	Water (non-saline)	urban biome	bioreactor	biomass	wastewater/sludge	wastewater/sludge	Anammox / Total Nutrient Removal bioreactor	bioreactor
fecal_aquatic_mammals	fecal_aquatic_mammals_scaffolds.fasta	Song_aquatic_feces.scaffolds.fasta	Song	4	56434642	75	Captive aquatic mammal feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	EMP500 Song Study 75	stool
fecal_birds	fecal_birds_scaffolds.fasta	Song_bird_feces.scaffolds.fasta	Song	15	343320752	53	Captive bird feces	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	host-associated	EMP500 Song Study 53	stool
fecal_livestock	fecal_livestock_scaffolds.fasta	Minich_livestock_feces.scaffolds.fasta	Minich	6	140525772	76	Livestock feces	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	host-associated habitat	animal manure	host-associated	host-associated	Malawi fish pond manuring	stool
fecal_terrestrial_mammals_and_herps_and_tissue_mouse	fecal_terrestrial_mammals_and_herps_and_tissue_mouse_scaffolds.fasta	Song_terr_feces.scaffolds.fasta	Metcalf_Song	38	777364678	81_51_52	Mouse decomposition skin / Captive terrestrial mammal and herp feces	EMP sample	Host-associated	Animal	Animal corpus / Animal distal gut	urban biome	animal-associated habitat	sebum / feces	host-associated	host-associated	Multiple projects	skin / stool
fecal_voles	fecal_voles_scaffolds.fasta	Chernobyl_vole.scaffolds.fasta	Mousseau	110	1173371444	88	Chernobyl vole feces	EMP sample	Host-associated	Animal	Animal distal gut	temperate mixed forest biome	host-associated habitat	feces	host-associated	host-associated	Chernobyl Microbiome project_LA	stool
fecal_whales	fecal_whales_scaffolds.fasta	Whale_feces.scaffolds.fasta	Girguis	12	183551580	50	Whale feces	EMP sample	Host-associated	Animal	Animal distal gut	marine biome	animal-associated habitat	feces	host-associated	host-associated	50-GirguisEMPWhales	stool
gut_fish	gut_fish_scaffolds.fasta	Sandin_fish_gut.scaffolds.fasta	Sandin	15	197971370	54	Fish gut contents	EMP sample	Host-associated	Animal	Animal proximal gut	marine biome	animal-associated habitat	intestine environment	host-associated	host-associated	Multiple projects	fish gut contents
pitcher_plants	pitcher_plants_scaffolds.fasta	Bittleson_pitcher_fluids.scaffolds.fasta	Bittleston	15	193287290	68	Pitcher plant fluids	EMP sample	Host-associated	Plant	Plant surface	multiple temperate / tropical	wetland / forest	organic material / pitcher plant fluid	plant-associated	plant-associated	Pitcher plant fluids from convergently evolved pitcher plants	pitcher plant fluid
sediment_lake	sediment_lake_scaffolds.fasta	Berry_lake_sediment.scaffolds.fasta	Berry	20	406782236	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	sediment
sediment_marine	sediment_marine_scaffolds.fasta	Jensen_benthic_sediment.scaffolds.fasta	Jensen	19	281670432	43	Ocean sediments	EMP sample	Free-living	Saline	Sediment (saline)	marine benthic biome	multiple	marine sediment	sediment	sediment	Jensen sediments from global ocean	sediment
