Scan Mz Intensity
61 55.0527 0.15011113997863804
61 55.0546 0.17609191420571
61 56.0501 0.18763892497329754
61 57.0339 0.12124361305966917
102 57.034 0.12916666666666668
102 58.0657 0.6388888888888888
119 58.0613 0.1586704590865283
119 58.0631 0.8227357137819985
125 51.4649 0.11971577158745687
125 52.162 0.6693785078008342
161 56.0501 0.312182645653891
161 58.0656 0.4137360364087712
161 60.0812 0.14292699439575732
202 58.0631 0.6866209271495196
228 51.3477 0.5781683626271971
228 60.0814 0.15362759349808378
228 71.0734 0.1453680454605524
236 56.6418 0.8067769261799113
272 56.0499 0.3969465648854962
272 57.034 0.10687022900763359
272 60.0812 0.14961832061068703
296 51.7087 0.39813143645822274
296 55.0184 0.11413101178469053
450 53.6279 0.15374845415956415
450 55.0546 0.29746983522176546
820 60.0812 0.6920415224913494
820 85.0281 0.1828966880869995
1023 56.9652 0.5865739734955464
1331 50.9245 0.6808124361738341
1331 57.0703 0.19289685691591965
1554 56.8362 0.12162794324029315
1554 58.0658 0.29939186028379855
1554 58.2876 0.4989864338063309
1564 52.6412 0.5510671087657031
1564 58.0652 0.29888385560173725
1606 58.0656 0.7615421227986673
1803 50.2313 0.524470698650178
1803 51.0324 0.1131752560245121
1886 53.5266 0.2866432788568495
1886 54.2811 0.29947805253700693
1915 58.0655 0.11470281543274244
1915 59.0733 0.13555787278415016
1915 60.0812 0.291970802919708
1915 62.9264 0.11470281543274244
1915 62.9294 0.28154327424400416
1918 60.0813 0.12166172106824925
1918 62.9295 0.41543026706231456
1918 73.0287 0.23738872403560832
1922 60.0812 0.7465277777777778
1941 50.212 0.40160642570281124
1941 51.6228 0.24614587381785205
2002 58.0656 0.3333333333333333
2002 60.0811 0.1037037037037037
2002 85.0286 0.30864197530864196
2003 50.5435 0.3535987224820349
2040 50.7314 0.12194664365314623
2047 55.0182 0.20501015170751227
2047 57.0452 0.10127007493985546
2047 58.0655 0.5928004386723246
2085 51.2959 0.12494360184638878
2085 55.0186 0.6941311213688266
2123 53.4846 0.6407625794653592
2153 51.8415 0.1045283647517288
2153 55.0547 0.16332556992457625
2153 57.0339 0.2939860258642373
2153 57.0579 0.3266511398491525
2203 56.05 0.10335917312661498
2203 56.9651 0.13565891472868216
2223 55.0547 0.10612090202766723
2223 56.0499 0.12507106310403637
2223 57.0339 0.1137009664582149
2231 50.0552 0.11410584300609876
2231 56.813 0.17509344875073776
2231 58.0656 0.2557544757033248
2233 55.0547 0.3593962143598754
2233 60.081 0.3833559619838671
2233 69.0702 0.12778532066128903
2241 56.0499 0.312043291069242
2241 56.9652 0.1145475372279496
2241 58.2199 0.16589643322668562
2257 55.0183 0.1830595685731249
2257 55.0526 0.30180091035028694
2275 56.05 0.8312655086848635
2312 52.0842 0.15330873093222658
2312 52.289 0.3832718273305665
2318 55.0184 0.17931705817557703
2318 55.0547 0.2689755872633655
2318 55.3431 0.34582575505289853
2321 53.0026 0.815459596821604
2331 55.0548 0.2340823970037453
2331 56.0499 0.16523463317911435
2332 60.0811 0.7314524555903866
2339 55.0547 0.26837729920795966
2354 52.1521 0.11875
2380 51.7801 0.14736032803690416
2380 55.0547 0.20502306509482318
2380 57.034 0.19861609431060995
2416 55.0547 0.34316019341756354
2416 56.0498 0.18093901107471533
2416 56.9652 0.11542661051318047
2423 53.9609 0.17835093977225958
2423 55.0547 0.4801756070791604
2435 53.0392 0.19330727264916878
2463 55.0184 0.18683017137422084
2508 50.8165 0.5578166642563478
2508 50.8185 0.20659876453938805
2555 55.0547 0.37655919039774066
2555 57.0313 0.24319447713187417
2571 57.0339 0.4290397223293482
2571 58.0656 0.10123409178557655
2571 59.0734 0.10605476282298495
2595 55.0547 0.1693241145759842
2595 57.0703 0.15521377169465217
2595 58.0656 0.2022482479657589
2617 51.6214 0.15878392683236653
2617 55.0183 0.2222974975653131
2617 55.0547 0.2963966634204175
2671 52.4354 0.14666919000757003
2684 55.0184 0.5276036091145435
2684 55.0547 0.13763572411683744
2693 52.3177 0.24188958451906659
2693 55.0547 0.10671599317017644
2726 50.8999 0.12513726792144444
2726 56.1429 0.1430140204816508
2726 58.0653 0.689531884465102
2730 55.0184 0.53803324393286
2730 55.0547 0.11412826386454605
2747 52.0608 0.3372830959037856
2747 52.9738 0.1686415479518928
2762 53.5081 0.6923336710570753
2824 50.5115 0.1010733022091736
2824 52.338 0.10588631660008663
2824 55.0547 0.2550897627183905
2837 54.057 0.5019932083271814
2837 55.0547 0.10039864166543629
2837 57.034 0.1742211723017865
2877 58.0655 0.5512679162072768
2922 55.0547 0.4046242774566474
2922 57.034 0.21019442984760903
3021 55.0548 0.41764552336204647
3021 57.034 0.2427564604541895
3140 55.0183 0.5468297053707901
3140 55.0549 0.1910609813946134
3150 54.7313 0.4970112163342065
3161 51.1291 0.3289737623365161
3161 55.0547 0.19257000722137527
3170 55.0548 0.32991202346041054
3170 57.034 0.1989945538332635
3328 55.0182 0.13271185343432382
3347 51.5082 0.5543237250554324
3347 57.034 0.2174654613679004
3441 55.0546 0.1290843081887858
3441 58.0655 0.5244050020169423
3462 55.0184 0.5317381189764041
3462 55.0548 0.13958125623130607
3613 51.3469 0.39362330249950794
3613 55.0547 0.20074788427474907
